Subject,Predicate,Object
Theme 5,hasSynchronousSession,No synchronous session this week
Theme 5,hasTriadActivity,Refine and finalise session plan
Theme 5,hasTriadActivity,Final triad meeting to share session plan and offer/receive peer feedback
Theme 6,hasTitle,Designing your session plan and peer review
Theme 6,hasLearningHours,6 hours
Theme 6,aimsTo,Prepare final planning session template and share it in a 3–5 minute presentation
Theme 6,hasLearningOutcome,LO4: Design and embed GenAI within your teaching  learning and assessment practices
Theme 6,hasLearningActivity,Learning Activity 1: Prepare a 3–5 minute presentation on your session plan
Theme 6,hasLearningActivity,Learning Activity 2: Share your 3–5 minute presentation with the full class at the synchronous session
Theme 6,hasLearningActivity,Learning Activity 3: Upload your final session plan and your Triad minutes to the submission area
Theme 6,hasSynchronousSession,2nd July (11:00–12:00 or 12:00–13:00)
Theme 6,hasTriadActivity,Meet Triad to receive and offer feedback on draft session plan
Theme 6,triadGoal,Refine and enhance final version of session plan before presentation
Theme 6,structureNote,Theme has two parts: preparation and presentation
Acquisition,hasDescription,"""When you listen to a facilitator , watch a video  or read from an online resource or book. Through engaging with these materials you acquire knowledge."""
Investigation,hasDescription,"""When you take an active and exploratory approach to learning through searching for and evaluating new information and ideas. By analysing, critiquing and comparing resources,  ideas and data,  you develop and further refine your knowledge and understanding of the concepts and ideas being taught."""
Practice,hasDescription,"""When you apply knowledge in context through actions e.g. implementing, generating,  or applying a concept or skill. Adapting actions according to the task,  and in response to feedback,  leads to enhancement of practice."""
Discussion,hasDescription,"""When you articulate and exchange ideas,  ask or respond to questions,  or challenge arguments (from your peers or facilitator). This enables you to develop a more thorough conceptual understanding of the topics at hand."""
Collaboration,hasDescription,"""When you work with peers in small groups to achieve a common goal,  for example the production of a shared output. Collaboration involves elements of discussion,  practice and production and enables you to collaboratively and actively build knowledge with your peers."""
Production,hasDescription,"""When you produce something (e.g. an artefact, a plan,  a video or an infographic) to demonstrate what and how you have learned. This type of learning activity can be performed individually (distinguishing it from collaboration)."""
